ats,token,company,roles_fetched,vendor_claimed,verdict,vendor_publishes_count,error
ashby,0g,,7,,unverifiable,no,
ashby,10xteam,10x Team,133,,unverifiable,no,
ashby,1bios,,3,,unverifiable,no,
ashby,1mind,,6,,unverifiable,no,
ashby,1password,1Password,64,,unverifiable,no,
ashby,1x,,92,,unverifiable,no,
ashby,3imembers,,7,,unverifiable,no,
ashby,42dot,42dot,99,,unverifiable,no,
ashby,5bluesoftware,,4,,unverifiable,no,
ashby,805title,,0,,unverifiable,no,
ashby,8fleet-inc,,16,,unverifiable,no,
ashby,8vc,,6,,unverifiable,no,
ashby,9-mothers,,8,,unverifiable,no,
ashby,9fin,,33,,unverifiable,no,
ashby,APEXX,,6,,unverifiable,no,
ashby,ATG,,7,,unverifiable,no,
ashby,Aaron-School,,2,,unverifiable,no,
ashby,Accord,,4,,unverifiable,no,
ashby,AeroVect,,46,,unverifiable,no,
ashby,AgentMail,,6,,unverifiable,no,
ashby,Agentis-Capital-Advisors,,29,,unverifiable,no,
ashby,AlephAlpha,,1,,unverifiable,no,
ashby,Ambral,,3,,unverifiable,no,
ashby,Anagram,,5,,unverifiable,no,
ashby,Ankorstore,,1,,unverifiable,no,
ashby,Anon,,3,,unverifiable,no,
ashby,Aquant,,3,,unverifiable,no,
ashby,Atolio,,4,,unverifiable,no,
ashby,AtroposHealth,,1,,unverifiable,no,
ashby,Authorium,,7,,unverifiable,no,
ashby,Aven,,8,,unverifiable,no,
ashby,Axel,,1,,unverifiable,no,
ashby,Bastion,,6,,unverifiable,no,
ashby,Bhblasted,,0,,unreachable,no,HTTP 404
ashby,Blockworks,,4,,unverifiable,no,
ashby,Blossom-Health,,9,,unverifiable,no,
ashby,Braiins,,7,,unverifiable,no,
ashby,BranchLab,,11,,unverifiable,no,
ashby,CARIAN,,55,,unverifiable,no,
ashby,Cambly,,4,,unverifiable,no,
ashby,Capable,,19,,unverifiable,no,
ashby,Cape,,27,,unverifiable,no,
ashby,Catio,,1,,unverifiable,no,
ashby,Chestnut,,4,,unverifiable,no,
ashby,Citizen,,7,,unverifiable,no,
ashby,Clera,Clera,273,,unverifiable,no,
ashby,Clipbook,,11,,unverifiable,no,
ashby,CloudZero,,16,,unverifiable,no,
ashby,Coastal,,12,,unverifiable,no,
ashby,Coinflow,,16,,unverifiable,no,
ashby,Coinhako,,7,,unverifiable,no,
ashby,Conception,,5,,unverifiable,no,
ashby,Coverbase,,5,,unverifiable,no,
ashby,DatologyAI,,12,,unverifiable,no,
ashby,Deepnote,,3,,unverifiable,no,
ashby,DehazeLabs,,4,,unverifiable,no,
ashby,Delphina,,3,,unverifiable,no,
ashby,DivineResearch,,2,,unverifiable,no,
ashby,DubClub,,4,,unverifiable,no,
ashby,ElectronX,,0,,unverifiable,no,
ashby,Fiducial,,14,,unverifiable,no,
ashby,FleetWorks,,7,,unverifiable,no,
ashby,FloatMe,,0,,unverifiable,no,
ashby,FlutterFlow,,3,,unverifiable,no,
ashby,Fourier,,8,,unverifiable,no,
ashby,FundamentalXR,,2,,unverifiable,no,
ashby,GPTZero,,6,,unverifiable,no,
ashby,Geoforce,,4,,unverifiable,no,
ashby,GitBook,,1,,unverifiable,no,
ashby,GovWell,,14,,unverifiable,no,
ashby,Green-Tree-School-and-Services,,6,,unverifiable,no,
ashby,HUMAN,,6,,unverifiable,no,
ashby,Harrison.ai,,6,,unverifiable,no,
ashby,Hartbeat,,1,,unverifiable,no,
ashby,Hatch,,11,,unverifiable,no,
ashby,Headstart,,2,,unverifiable,no,
ashby,Healthtech-1,,4,,unverifiable,no,
ashby,Hyperbound,,8,,unverifiable,no,
ashby,Hyperscience,,1,,unverifiable,no,
ashby,InscribeAI,,2,,unverifiable,no,
ashby,Intellistack,,10,,unverifiable,no,
ashby,Irregular,,9,,unverifiable,no,
ashby,Koyfin,,0,,unverifiable,no,
ashby,LatchBio,,16,,unverifiable,no,
ashby,LeanLayer,,7,,unverifiable,no,
ashby,LeanTech,,3,,unverifiable,no,
ashby,Leapsome,,0,,unverifiable,no,
ashby,Links-Academy,,1,,unverifiable,no,
ashby,Linkup,,10,,unverifiable,no,
ashby,Lynk,,0,,unreachable,no,HTTP 404
ashby,Mastra,,2,,unverifiable,no,
ashby,Maticrobots,,20,,unverifiable,no,
ashby,Meliora-Academy,,3,,unverifiable,no,
ashby,MioDottore,,21,,unverifiable,no,
ashby,Molg,,10,,unverifiable,no,
ashby,NPX,,15,,unverifiable,no,
ashby,Nango,,11,,unverifiable,no,
ashby,Nash,,23,,unverifiable,no,
ashby,Natter,,2,,unverifiable,no,
ashby,New-Story-Schools-OH,,13,,unverifiable,no,
ashby,NormalComputing,,19,,unverifiable,no,
ashby,OBRIO,,20,,unverifiable,no,
ashby,OLIX,,19,,unverifiable,no,
ashby,Opal-OS,,3,,unverifiable,no,
ashby,OpenHands,,1,,unverifiable,no,
ashby,OpenSea,,2,,unverifiable,no,
ashby,Opus1,,0,,unverifiable,no,
ashby,Oso,,7,,unverifiable,no,
ashby,Phinitylabs,,3,,unverifiable,no,
ashby,Playbook,,3,,unverifiable,no,
ashby,Playlab,,8,,unverifiable,no,
ashby,Polarsteps,,3,,unverifiable,no,
ashby,Preference-Model,,5,,unverifiable,no,
ashby,Prelude,,17,,unverifiable,no,
ashby,Promise,,10,,unverifiable,no,
ashby,ProximaAI,,1,,unverifiable,no,
ashby,Rebecca-School,,8,,unverifiable,no,
ashby,ReflexRobotics,,7,,unverifiable,no,
ashby,Replicant,,10,,unverifiable,no,
ashby,RevenueVessel,,1,,unverifiable,no,
ashby,Rhythms,,1,,unverifiable,no,
ashby,Ridealso,,42,,unverifiable,no,
ashby,River-Rock-Academy,,6,,unverifiable,no,
ashby,Roadrunner,,12,,unverifiable,no,
ashby,Rox-Data-Corp,,22,,unverifiable,no,
ashby,Sahara,,3,,unverifiable,no,
ashby,ScribdInc,,11,,unverifiable,no,
ashby,SearchApi,,12,,unverifiable,no,
ashby,Second-Front-Systems,,17,,unverifiable,no,
ashby,Sentradel,,8,,unverifiable,no,
ashby,Serval,,57,,unverifiable,no,
ashby,Shasqi,,1,,unverifiable,no,
ashby,ShortStory,,19,,unverifiable,no,
ashby,SigNoz,,16,,unverifiable,no,
ashby,Skydropx,,38,,unverifiable,no,
ashby,SlingshotAI,,4,,unverifiable,no,
ashby,Solvd,,21,,unverifiable,no,
ashby,Stand,,1,,unverifiable,no,
ashby,StandInsurance,,8,,unverifiable,no,
ashby,StandardBots,,36,,unverifiable,no,
ashby,Straia,,2,,unverifiable,no,
ashby,Sunday-GmbH,,2,,unverifiable,no,
ashby,SunnyData,,36,,unverifiable,no,
ashby,Tabs,,22,,unverifiable,no,
ashby,Taxo,,3,,unverifiable,no,
ashby,Tembo-Health,,4,,unverifiable,no,
ashby,Terranova,,16,,unverifiable,no,
ashby,The-Learning-Spectrum,,5,,unverifiable,no,
ashby,The-Pinnacle-School,,3,,unverifiable,no,
ashby,The-Spire-School,,0,,unverifiable,no,
ashby,Thrive-Alliance-Group,,0,,unverifiable,no,
ashby,Toku,,23,,unverifiable,no,
ashby,TonicAI,,1,,unverifiable,no,
ashby,Transfr,,8,,unverifiable,no,
ashby,Tremendous,,26,,unverifiable,no,
ashby,TwoStepTx,,1,,unverifiable,no,
ashby,Unlearn,,7,,unverifiable,no,
